Country,Location,Activity,Fatal Y/N,Species
USA,Sunset Beach,Swimming,N,Not stated
Australia,Port Noarlunga,Swimming,N,Not stated
Jamaica,Rose Hall beach,Paddling,N,Small shark 1m (3ft) long
Israel,Olga Beach near Hadera Stream ,Diving,Y,Dusky sharks
Mexico,Chac Mool Beach Cancun,Rescuing female companion ,Y,Not Staed
Maldives,Haa Dhaalu atoll,snorkeling,N,Not stated
USA,Everglades National Park Flamingo Lodge Highway West Miami-Dade (Monroe County),Undisclosed,N,Not stated
Australia,Sandtrax Port Beach North Fremantle Perth,Swimming,N,1.5m Tiger shark
Australia,Duke of Orleans Bay,Surfing,Y,Great White Shark
Australia,Gunyah beach Bundeena Port Hacking,Swimming,N,Bull shark
Australia,Nuns Beach near Portland,Swimming,N,Not stated
Philippines,Verde Island,SCUBA Diving,Y,Not stated
Australia,Blasck Wall Reach Swan River Perth,Kayaking,N,Not stated
Australia,Off Port Stephens near Newcastle,Fishing was pulled of boat by shark,Y,Mako shark
Australia,The Wrecks walking track Moreton Island,Snorkeling,N,Not stated
Bahamas,Bimini Bay,Swimming,N,bull shark
Bahamas,Bimini Bay,Swimming,N,bull shark
Turks and Caicos,Thompson Cove Beach,Swimming,N,1.8m (6ft) bull shark
Australia,"Woorim Beach, Bribie Island,",Swimming,Y,Bull shark
Australia,Shipwreck Cove,Bathing,N,Not stated
Australia,Cheynes beach ,Surfing,N,Bronze whaler
Mozambique,Vilankulo Bay,Spearfishing,Y,Described as a large terrifying animal
USA,Off Haleiwa Boat Harbour Oahu,Diving,N,Not stated
New Caledonia,Islet of Kendek near Koumac,Spearfishing,Y,Reportedly Tiger or Bull shark
Australia,Granites Beach near Westall Streaky Bay,Surfing,Y,Great White Shart estimated 4.8m 16 ft
Mozambique,?,Diving,Y,Unknown
Egypt,Red Sea,SCUBA Diving,N,Reportedly a Tiger Shark
Egypt,Red Sea,SCUBA Diving,Y,Reportedly a Tiger Shark
Australia,Humpy Island Great Keppel Island,Spearfishing,Y,Unknown
Australia,Curtis Island Near Gladstone QLD central coast,Spearfishing,N,Not stated
Australia,Greenough River Mouth Beach Cape Burney 12km south of Geraldton,Surfing,N,1m shark species unknown
Thailand,Khao Lak Beach,Swimming,N,Unknown
New Zealand,Chatham Islands,Diving,Y,Great White Shark
Maldives,Maafushi,Diving,N,Not stated
Hawaii,Sand Piles Waiehu Beach Park,Surfing,N,Not stated
Australia,Whitsunday Islands,Snorkeling,N,Reported as a large Tiger shark
USA,"Bathtub Beach, Martin County",Surfing,N,Bull or tiger 7-8ft
Honduras,Atlantida,Swimming,N,Bull shark
USA,Brevard County Orlando,Surfing,N,Bull shark 6ft
Indonesia,Pulau Reong Island,Disappeared whilst diving remains found in shark,Y,Large Tiger shark
Honduras,Puerto Castillo,Diving for shellfish,N,Bull shark 6-7ft
Morocco,West of Dakhla,Swimming - jumped off yacht,Y,Reportedly a Great White
Jamaica,Falmouth,Spearfishing,Y,Reportedly Tiger Shark
Belize,Central America,Swimming - Diving ,N,Reef shark 6ft (1.8m)
Australia,"North Shore Beach, Port Macquarie",Surfing,N,3m White Shark
Australia,Trigg beach Sterling,Surfing,N,Undetermined small shall shark
USA,Ponce de Leon Inlet Volusia County,Diving into Water,N,4-5ft Blacktip shark
USA,New Smyrna Beach,Wading,N,Not specified
USA,South Padre Island,Swimming,N,Bull shark 6 ft
USA,South Padre Island,Swimming,N,6 ft shark
USA,South Padre Island,Swimming,N,6 ft shark
USA,New Smyrna Beach,Playing football in the water,N,Not specified
USA,New Smyrna Beach Beach Access 14 Volusia County,Swimming,N,6ft shark
USA,Goat Island (Moku'auia) La'ie Bay,Surfing,F,Not stated
USA,"Haleiwa, Oahu",Unconfirmed Possibly swimming near the boat harbour,N,Not stated area has Tiger and Galapogas sharks
USA,Rosemary Beach Walton County,Wading,N,Not specified Bull shark highly suspect
USA,Water Sound  Beach Walton County,Swimming,N,Not specified Bull shark highly suspect
USA,Del Mar Beach San Diego,Swimming ocean training ,N,Not specified
Maldive Islands,Indian Ocean,Military ocean training,Y,Not specified
USA,Jamaica Beach,Wading,N,Not specified
Turks and Caicos,Leward reef,snorkelling,N,Large shark
French Polynesia,Mangareva Atoll,Freediving,N,2.5m shark
USA,Y-73' Ledge reef Chareston Coast,Spearfishing,N,3m Sandbar shark
Tobago,Turtle beach,Swimming,N,Bull shark 3m
Bahamas,Flying Fish Marina,Jumpinf from dock to boat acidentally fell into water at marina,N,Carribean reef shark 7ft
Australia,West beach Glenelg,Fishing,N,Great White
Australia,Lighthouse bombie surf spot Exemouth,Surfing,N,Not specified
Maldive Islands,Unspecified,Swimming,N,Not specified
AUSTRALIA,Bargara Beach,Swimming,N,Tiger shark
USA,"Old Man's, Waikiki",Surfing,N,Tiger shark 8'
USA,"Rainbows, Oahu",Swimming,N,3' to 4' shark
AUSTRALIA,"Sandlnd Island, Jurian Bay",Swimming,N,Tiger shark
INDIA,"Vaitarna River, Palghar District",Fishing,N,"Bull shark, 7'"
AUSTRALIA,"Elizabeth Bay, Sydney Harbor",Swimming,N,Bull shark
BAHAMAS,Paradise Island Resort,Swimming,N,Unknown
AUSTRALIA,"Walkers Beach, Elliston",Surfing,N,White shark
SOUTH AFRICA,Papiesfontein,Fishing,N,Raggedtooth shark
USA,"Baby Beach, Maui",Surfing,Y,Unknown
MEXICO,"Tojahui Beach, Yavaros, Huatabampo",Free diving,Y,White shark
AUSTRALIA,Ethel Beach,Surfing,Y,"White shark, 13'"
AUSTRALIA,Old Bar,Surfing,N,Unknown
AUSTRALIA,Wedge Island,Foil Boarding,N,Broze whaler?
NEW ZEALAND,Riverton,Wading,N,Sevengill shark
MEXICO,"Playa Quieta, Ixtapa, Zihuatanejo",Swimming,Y,Shark involment not confirmed
MEXICO,"Playa Quieta, Ixtapa, Zihuatanejo",Swimming,N,Shark involment not confirmed
