Country,Location,Activity,Fatal Y/N,Species,Latitude,Longitude
USA,Sunset Beach,Swimming,N,Not stated,33.880728,-78.512231
Australia,Port Noarlunga,Swimming,N,Not stated,-35.1500622,138.4698986
Jamaica,Rose Hall beach,Paddling,N,Small shark 1m (3ft) long,18.5146772,-77.7657853
Israel,Olga Beach near Hadera Stream ,Diving,Y,Dusky sharks,,
Mexico,Chac Mool Beach Cancun,Rescuing female companion ,Y,Not Staed,21.128613,-86.7493524
Maldives,Haa Dhaalu atoll,snorkeling,N,Not stated,,
USA,Everglades National Park Flamingo Lodge Highway West Miami-Dade (Monroe County),Undisclosed,N,Not stated,,
Australia,Sandtrax Port Beach North Fremantle Perth,Swimming,N,1.5m Tiger shark,,
Australia,Duke of Orleans Bay,Surfing,Y,Great White Shark,-33.9172595,122.5869512
Australia,Gunyah beach Bundeena Port Hacking,Swimming,N,Bull shark,,
Australia,Nuns Beach near Portland,Swimming,N,Not stated,,
Philippines,Verde Island,SCUBA Diving,Y,Not stated,,
Australia,Blasck Wall Reach Swan River Perth,Kayaking,N,Not stated,,
Australia,Off Port Stephens near Newcastle,Fishing was pulled of boat by shark,Y,Mako shark,,
Australia,The Wrecks walking track Moreton Island,Snorkeling,N,Not stated,,
Bahamas,Bimini Bay,Swimming,N,bull shark,25.748137,-79.2826457
Bahamas,Bimini Bay,Swimming,N,bull shark,25.748137,-79.2826457
Turks and Caicos,Thompson Cove Beach,Swimming,N,1.8m (6ft) bull shark,,
Australia,"Woorim Beach, Bribie Island,",Swimming,Y,Bull shark,,
Australia,Shipwreck Cove,Bathing,N,Not stated,-32.421104,115.7483797
Australia,Cheynes beach ,Surfing,N,Bronze whaler,-34.8801321,118.4000174
Mozambique,Vilankulo Bay,Spearfishing,Y,Described as a large terrifying animal,,
USA,Off Haleiwa Boat Harbour Oahu,Diving,N,Not stated,,
New Caledonia,Islet of Kendek near Koumac,Spearfishing,Y,Reportedly Tiger or Bull shark,,
Australia,Granites Beach near Westall Streaky Bay,Surfing,Y,Great White Shart estimated 4.8m 16 ft,,
Mozambique,?,Diving,Y,Unknown,-19.302233,34.9144977
Egypt,Red Sea,SCUBA Diving,N,Reportedly a Tiger Shark,25.5867279,34.1694641
Egypt,Red Sea,SCUBA Diving,Y,Reportedly a Tiger Shark,25.5867279,34.1694641
Australia,Humpy Island Great Keppel Island,Spearfishing,Y,Unknown,,
